"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C1,C2";"0805C";2;"22p";;;
2;"C3,C8";"0805C";2;"1u";;;
3;"C4,C5,C6,C7";"0805C";4;"100n";;;
4;"IC1";"TQFP44";1;"ATMEGA32U4";;;
5;"J1";"67503";1;"USBMINI_B05";;;
6;"R4,R3";"resistor";2;"10k";;;
7;"S0";"KSEM31GLFS";1;"DTSM-6";;;
8;"X1";"Crystal_HC49-U_Vertical";1;"CRYSTAL";;;
9;"SW0:0";"MX1A";1;"F0";;;
10;"SW0:1,SW0:12";"MX1A";2;"CTRL";;;
11;"SW0:3,SW0:10";"MX1A";2;"CMD";;;
12;"SW0:11,SW0:2";"MX1A";2;"ALT";;;
13;"SW0:13";"MX1A";1;"←";;;
14;"SW0:14";"MX1A";1;"↓";;;
15;"SW0:15";"MX1A";1;"→";;;
16;"SW1:0";"MX1A";1;"F1";;;
17;"SW1:1,SW1:13";"MX1A";2;"SHIFT";;;
18;"SW1:3";"MX1A";1;"Z";;;
19;"SW1:4";"MX1A";1;"X";;;
20;"SW1:5";"MX1A";1;"C";;;
21;"SW1:6";"MX1A";1;"V";;;
22;"SW1:7";"MX1A";1;"B";;;
23;"SW1:8";"MX1A";1;"N";;;
24;"SW1:9";"MX1A";1;"M";;;
25;"SW1:10";"MX1A";1;",";;;
26;"SW1:11";"MX1A";1;".";;;
27;"SW1:12";"MX1A";1;"?";;;
28;"SW1:14";"MX1A";1;"↑";;;
29;"SW1:15";"MX1A";1;"END";;;
30;"SW2:0";"MX1A";1;"F2";;;
31;"SW2:1";"MX1A";1;"CAPS";;;
32;"SW2:2";"MX1A";1;"A";;;
33;"SW2:3";"MX1A";1;"S";;;
34;"SW2:4";"MX1A";1;"D";;;
35;"SW2:5";"MX1A";1;"F";;;
36;"SW2:6";"MX1A";1;"G";;;
37;"SW2:7";"MX1A";1;"H";;;
38;"SW2:8";"MX1A";1;"J";;;
39;"SW2:9";"MX1A";1;"K";;;
40;"SW2:10";"MX1A";1;"L";;;
41;"SW2:11";"MX1A";1;";";;;
42;"SW2:12";"MX1A";1;"'";;;
43;"SW2:14";"MX1A";1;"ENTER";;;
44;"SW2:15";"MX1A";1;"PGDWN";;;
45;"SW3:0";"MX1A";1;"F3";;;
46;"SW3:1";"MX1A";1;"TAB";;;
47;"SW3:2";"MX1A";1;"Q";;;
48;"SW3:3";"MX1A";1;"W";;;
49;"SW3:4";"MX1A";1;"E";;;
50;"SW3:5";"MX1A";1;"R";;;
51;"SW3:6";"MX1A";1;"T";;;
52;"SW3:7";"MX1A";1;"Y";;;
53;"SW3:8";"MX1A";1;"U";;;
54;"SW3:9";"MX1A";1;"I";;;
55;"SW3:10";"MX1A";1;"O";;;
56;"SW3:11";"MX1A";1;"P";;;
57;"SW3:12";"MX1A";1;"{";;;
58;"SW3:13";"MX1A";1;"}";;;
59;"SW3:14";"MX1A";1;"BCKSL";;;
60;"SW3:15";"MX1A";1;"PGUP";;;
61;"SW4:0";"MX1A";1;"F4";;;
62;"SW4:1";"MX1A";1;"TILDE";;;
63;"SW4:2";"MX1A";1;"1";;;
64;"SW4:3";"MX1A";1;"2";;;
65;"SW4:4";"MX1A";1;"3";;;
66;"SW4:5";"MX1A";1;"4";;;
67;"SW4:6";"MX1A";1;"5";;;
68;"SW4:7";"MX1A";1;"6";;;
69;"SW4:8";"MX1A";1;"7";;;
70;"SW4:9";"MX1A";1;"8";;;
71;"SW4:10";"MX1A";1;"9";;;
72;"SW4:11";"MX1A";1;"0";;;
73;"SW4:12";"MX1A";1;"-";;;
74;"SW4:13";"MX1A";1;"=";;;
75;"SW4:14";"MX1A";1;"BCKSP";;;
76;"SW4:15";"MX1A";1;"ESC";;;
77;"SW0:7";"MX1A";1;"SPACE";;;
78;"D0:0,D0:1,D0:2,D0:3,D0:7,D0:10,D0:11,D0:12,D0:13,D0:14,D0:15,D1:0,D1:1,D1:3,D1:4,D1:5,D1:6,D1:7,D1:8,D1:9,D1:10,D1:11,D1:12,D1:13,D1:14,D1:15,D2:0,D2:1,D2:2,D2:3,D2:4,D2:5,D2:6,D2:7,D2:8,D2:9,D2:10,D2:11,D2:12,D2:14,D2:15,D3:0,D3:1,D3:2,D3:3,D3:4,D3:5,D3:6,D3:7,D3:8,D3:9,D3:10,D3:11,D3:12,D3:13,D3:14,D3:15,D4:0,D4:1,D4:2,D4:3,D4:4,D4:5,D4:6,D4:7,D4:8,D4:9,D4:10,D4:11,D4:12,D4:13,D4:14,D4:15";"DIODE";73;"D";;;
79;"R1,R2";"resistor";2;"22";;;
80;"P1,P2,P3,P4,P5,P6";"pad";6;"CONN_1";;;
